Age Group,Sex,Sub,Spectral centroid avg
Age_A,Female,Sub 25,3655.5029
Age_A,Female,Sub 28,4887.3982
Age_A,Female,Sub 32,4598.1605
Age_A,Female,Sub 35,7041.157
Age_A,Female,Sub 44,128.8602
Age_A,Female,Sub 46,130.6257
Age_A,Female,Sub 63,129.2003
Age_A,Female,Sub 64,386.7218
Age_A,Female,Sub 66,148.9767
Age_A,Female,Sub 69,131.4712
Age_A,Female,Sub 70,96.3555
Age_A,Female,Sub 72,222.9419
Age_A,Female,Sub 73,142.5579
Age_A,Female,Sub 74,110.5305
Age_A,Female,Sub 8,4807.7498
Age_A,Female,sub 59,181.1484
Age_A,Male,Sub 36,5796.0671
Age_A,Male,Sub 38,5706.2273
Age_A,Male,Sub 42,2380.4616
Age_A,Male,Sub 43,5016.2431
Age_A,Male,Sub 45,147.998
Age_A,Male,Sub 65,160.0789
Age_A,Male,Sub 67,93.9193
Age_A,Male,Sub 68,136.5784
Age_A,Male,Sub 70,96.3555
Age_A,Male,Sub 73,142.5579
Age_A,Male,Sub 74,110.5305
Age_A,Male,Sub 76,149.8963
Age_A,Male,Sub 77,139.0521
Age_B,Female,Sub 21,5974.1852
Age_B,Female,Sub 22,4564.8693
Age_B,Female,Sub 27,5847.1872
Age_B,Female,Sub 61,198.2794
Age_B,Male,Sub 23,4649.6131
Age_B,Male,Sub 4,3952.0604
Age_C,Female,Sub 1,5980.8607
Age_C,Female,Sub 47,4232.857
Age_C,Female,Sub 60,146.5194
Age_C,Male,Sub 41,5703.6169
Age_C,Male,Sub 66,148.9767
